paper_id	provider	source_path	source_kind	completed_at	note
PMC13033738	codex	/mnt/d/work/抗菌肽/数据库/DBAASP/analysis/runtime/oa_200paper_batch_20260413_round14/source_pool/PMC13033738/paper.xml	xml	2026-07-08T03:26:30Z	retroactive log for 2026-07-08 codex one-paper probe; provider returned no usable activity records
PMC13036000	codex	/mnt/d/work/抗菌肽/数据库/DBAASP/analysis/runtime/oa_200paper_batch_20260413_round14/source_pool/PMC13036000/paper.xml	xml	2026-07-08T04:35:17Z	provider returned no usable activity records
PMC13039887	codex	/mnt/d/work/抗菌肽/数据库/DBAASP/analysis/runtime/oa_200paper_batch_20260413_round14/source_pool/PMC13039887/paper.xml	xml	2026-07-08T04:35:26Z	provider returned no usable activity records
PMC12317022	codex	/mnt/d/work/抗菌肽/数据库/DBAASP/analysis/runtime/oa_200paper_batch_20260413_round15/source_pool/PMC12317022/paper.xml	xml	2026-07-08T04:35:51Z	provider returned no usable activity records
PMC12450885	codex	/mnt/d/work/抗菌肽/数据库/DBAASP/analysis/runtime/oa_200paper_batch_20260413_round17/source_pool/PMC12450885/paper.xml	xml	2026-07-08T04:36:08Z	provider returned no usable activity records
PMC12006171	codex	/mnt/d/work/抗菌肽/数据库/DBAASP/analysis/runtime/oa_200paper_batch_20260413_round9/source_pool/PMC12006171/paper.xml	xml	2026-07-08T04:37:41Z	provider returned no usable activity records
